8164.0	7326.8	7288.4	6671.0	NaN	NaN
6433.0	5699.9	NaN	NaN	NaN	NaN
8236.94	8006.6	6854.9	NaN	NaN	NaN
6733.266666666667	6624.1	6296.6	5051.1	NaN	NaN
9186.3	9247.2	9407.8	NaN	NaN	NaN
9085.1	8537.9	8264.3	7961.6	8096.9	NaN
7256.5	6224.5	6052.5	NaN	NaN	NaN
8114.166666666667	8018.8	7732.7	NaN	NaN	NaN
8738.8	8164.7	7590.6	8015.7	8023.1	NaN
5866.6	5333.6	NaN	NaN	NaN	NaN
7813.066666666667	7924.7	8259.6	7609.5	NaN	NaN
8432.0	8068.5	NaN	NaN	NaN	NaN
6562.325000000001	6428.3	5892.2	NaN	NaN	NaN
7863.4	7904.2	8026.6	NaN	NaN	NaN
6998.4	7154.8	6538.3	NaN	NaN	NaN
7762.4	7376.8	7278.8	NaN	NaN	NaN
7225.3	6658.8	6092.3	5429.1	NaN	NaN
6189.450000000003	6711.3	6860.4	6468.4	NaN	NaN
8336.4	7888.6	8221.4	NaN	NaN	NaN
7675.9	7714.0	7752.1	7507.1	7234.0	7150.3
10161.6	5211.1	4221.0	NaN	NaN	NaN
6081.233333333333	5608.9	4900.4	NaN	NaN	NaN
6118.340000000001	5698.1	4997.7	4588.2	NaN	NaN
8324.6	8480.3	NaN	NaN	NaN	NaN
6657.0	6207.7	5968.2	NaN	NaN	NaN
6158.716666666668	5825.6	5643.9	NaN	NaN	NaN
6674.000000000004	6995.6	7049.2	6729.6	6336.4	NaN
7594.799999999999	7486.9	7163.2	NaN	NaN	NaN
8230.65	8191.7	8113.8	7722.0	7828.0	NaN
6680.933333333333	6613.2	6206.8	6086.4	NaN	NaN
9515.0	8743.5	NaN	NaN	NaN	NaN
6165.1	5187.5	NaN	NaN	NaN	NaN
6419.0	6462.2	NaN	NaN	NaN	NaN
6513.85	6463.6	6363.1	NaN	NaN	NaN
9295.183333333334	8690.6	7965.1	8040.4	7918.9	NaN
8522.357142857143	8213.7	7493.5	NaN	NaN	NaN
7669.95	7594.5	7443.6	7565.6	7537.7	NaN
